WORD1,WORD2,WORD3,WORD4,WORD5,WORD6,WORD7,WORD8,WORD9,WORD10,,,SCORE,BETTERTHAN
truck,wash,survey,vibraphone,track,smell,gazelle,selling,dune buggy,malice,,,88.79,94.68%
vegetation,promise,liner,fork,textbook,cranberry,hunt,friction,crop,litmus,,,86.78,90.58%
shower,housework,official,ribbon,cobweb,diesel,slump,stir-fry,eyelid,tenement,,,92.8,98.66%
hoe,exchange,corporation,pillow,cowboy,subcontractor,authorization,nitrogen,architect,property,,,85.75,87.72%
petticoat,copywriter,proximal,weed,studio,patience,burlesque,clam,raiment,belt,,,88.76,94.64%
opossum,mortgage,depth,pickup,soy,orchestra,agreement,chafe,yew,candy,,,93.68,99.06%
thousand,pantry,conga,pendant,insect,fender,chicory,lighting,mandate,salary,,,89.98,96.36%
drama,flavor,biplane,color,chateau,sailboat,graduation,spider,midnight,shopper,,,87.72,92.71%
stylus,percent,fruit,netsuke,skyscraper,maelstrom,carpenter,administrator,telescreen,consideration,,,93.95,99.15%
transmission,legislation,pharmacopoeia,pickup,flintlock,fingernail,legacy,shutdown,stove,kale,,,94.02,99.18%
trek,caftan,bungalow,zoot-suit,presence,zephyr,shot,grammar,catch,slump,,,93.9,99.13%
subset,meantime,parser,penicillin,speed,devil,ski,styling,possibility,carpenter,,,91.35,97.72%
sidewalk,shift,zombie,demur,appliance,quill,classmate,obsession,township,fibrosis,,,92.48,98.49%
motorcycle,talent,poor,duffel,carpenter,criminal,payee,vector,valuable,suicide,,,87.95,93.18%
couch,somersault,corruption,collar,temptress,future,airman,banjo,mention,unblinking,,,92.71,98.62%
tie,pince-nez,tankful,woodwind,beat,settlement,almond,doorpost,lizard,bandana,,,94.33,99.27%
quince,grub,lane,fraction,session,drudgery,importance,spending,encouragement,pirate,,,90.37,96.8%
hatred,coat,servant,wilderness,metallurgist,lapdog,sentencing,cuticle,licence,server,,,89.06,95.11%
drawer,loft,noodles,baby,pile,blazer,molar,email,rhythm,alpenglow,,,82.92,76.93%
robotics,cuticle,bull,hunger,wetsuit,thermometer,assumption,batting,serval,southeast,,,92.13,98.28%
parenthesis,dreamer,adrenaline,clip,tourist,yoke,blogger,poncho,brocolli,decoration,,,91.07,97.48%
tuxedo,explosion,mover,theft,nut,eggnog,shoat,coconut,top,fiery,,,85.93,88.24%
speaking,prior,aid,coast,eicosanoid,output,dome,menu,notepad,patient,,,83.68,80.22%
step-brother,west,cooking,crime,dogwood,many,jar,sledge,maybe,waitress,,,89.39,95.59%
calorie,bugle,dragonfly,shaker,ignorant,designer,negligee,sprinkles,wave,production,,,91.01,97.43%
online,crocus,admire,bait,pulse,degradation,condition,lychee,in-joke,sphynx,,,90.21,96.62%
detainee,tractor,entry,loyalty,clogs,asphalt,fig,distance,salesman,commitment,,,93.41,98.95%
fry,assist,granny,titanium,attic,trombone,decimal,trim,chart,hydrant,,,92.73,98.63%
amazon,contention,suspension,rationale,dignity,isogloss,titanium,desk,credenza,midnight,,,87.56,92.38%
entree,antelope,tinderbox,torso,defeat,ellipse,jewelry,significance,porch,consequence,,,92.38,98.44%
spruce,leeway,chaos,roadway,shootdown,point,publishing,asterisk,engineering,profession,,,87.04,91.21%
suburb,infrastructure,turban,consistency,flight,gadget,vitro,sprag,scale,cat,,,88.28,93.82%
dividend,thunderhead,morphology,gun,fundraising,manner,minister,cottage,greens,milepost,,,93.81,99.1%
seaside,sideboard,press,camp,gossip,data,historian,batting,butler,flume,,,89.62,95.91%
lode,crap,bonding,lathe,species,eaves,explosion,pruner,editor,conifer,,,91.1,97.51%
attendance,butler,tremor,morbid,shoemaker,hair,criticism,communication,premeditation,lecture,,,89.16,95.26%
simvastatin,airfare,perfume,lawmaker,abnormality,frost,broadcast,role,occurrence,password,,,94.64,99.36%
canon,oven,supervisor,formation,glacier,tune,revitalization,breakfast,conclusion,closing,,,92.53,98.52%
shoot,bayou,reserve,redhead,innocence,half-brother,bust,hose,shop,lover,,,85.79,87.82%
affair,farmland,bark,root,bolero,latex,blouse,reflection,boxer,outlet,,,87.15,91.45%
autoimmunity,allocation,spiral,consumption,downtown,leopard,crew,writing,winter,eyebrows,,,89.58,95.84%
workhorse,butler,vibe,cushion,bear,sweatshirt,ping,quail,quiver,warren,,,85.61,87.26%
rocket-ship,swing,bead,carbohydrate,inbox,interchange,tablecloth,sarong,slave,elevator,,,90.13,96.54%
lifestyle,twins,heirloom,snow,airforce,irony,conference,examiner,tablecloth,blanket,,,90.09,96.49%
attitude,cornmeal,hydroxyl,side,maple,straw,sheet,peer,carbon,lake,,,83.08,77.67%
spine,equal,empowerment,barber,microlending,fellow,supplier,redesign,viscose,counsel,,,89.25,95.4%
sandpaper,drainage,peanut,norm,curriculum,bachelor,processor,hunger,list,badger,,,88.85,94.79%
domination,burn-out,cape,confectionery,tremor,sculpture,brow,med,minority,tapioca,,,90.31,96.73%
submitter,pomegranate,donation,legislation,cascade,advantage,announcement,elephant,servant,chauffeur,,,87.16,91.48%
number,luggage,claim,bag,building,prairie,absence,grenade,tracksuit,specialist,,,78.96,55.74%
